a,r,c,a_shrinked,r_shrinked,c_shrinked
1,17,5,1,8,1
1,23,42,0,8,15
0,22,41,1,7,15
0,23,39,0,8,14
1,20,41,0,7,14
1,22,37,0,8,13
0,19,40,1,6,14
0,22,34,0,8,12
1,17,40,0,6,13
1,21,32,0,8,11
0,16,39,1,5,13
0,21,29,0,8,10
1,14,39,0,5,12
1,20,27,0,8,9
0,13,38,1,4,12
0,20,24,0,8,8
1,11,38,0,4,11
1,19,22,0,8,7
0,10,37,1,3,11
0,19,19,0,8,6
1,8,37,0,3,10
1,18,17,0,8,5
0,7,36,1,2,10
0,18,14,0,8,4
1,5,36,0,2,9
1,17,12,0,8,3
0,4,35,1,1,9
0,17,9,0,8,2
1,2,35,0,1,8
1,16,7,0,8,1
1,21,39,1,7,14
0,20,38,0,7,13
0,21,36,1,7,13
1,18,38,1,6,13
1,20,34,1,7,12
0,17,37,0,6,12
0,20,31,1,7,11
1,15,37,1,5,12
1,19,29,1,7,10
0,14,36,0,5,11
0,19,26,1,7,9
1,12,36,1,4,11
1,18,24,1,7,8
0,11,35,0,4,10
0,18,21,1,7,7
1,9,35,1,3,10
1,17,19,1,7,6
0,8,34,0,3,9
0,17,16,1,7,5
1,6,34,1,2,9
1,16,14,1,7,4
0,5,33,0,2,8
0,16,11,1,7,3
1,3,33,1,1,8
1,15,9,1,7,2
1,19,36,0,7,12
0,18,35,1,6,12
0,19,33,0,7,11
1,16,35,0,6,11
1,18,31,0,7,10
0,15,34,1,5,11
0,18,28,0,7,9
1,13,34,0,5,10
1,17,26,0,7,8
0,12,33,1,4,10
0,17,23,0,7,7
1,10,33,0,4,9
1,16,21,0,7,6
0,9,32,1,3,9
0,16,18,0,7,5
1,7,32,0,3,8
1,15,16,0,7,4
0,6,31,1,2,8
0,15,13,0,7,3
1,4,31,0,2,7
1,14,11,0,7,2
1,17,33,1,6,11
0,16,32,0,6,10
0,17,30,1,6,10
1,14,32,1,5,10
1,16,28,1,6,9
0,13,31,0,5,9
0,16,25,1,6,8
1,11,31,1,4,9
1,15,23,1,6,7
0,10,30,0,4,8
0,15,20,1,6,6
1,8,30,1,3,8
1,14,18,1,6,5
0,7,29,0,3,7
0,14,15,1,6,4
1,5,29,1,2,7
1,13,13,1,6,3
1,15,30,0,6,9
0,14,29,1,5,9
0,15,27,0,6,8
1,12,29,0,5,8
1,14,25,0,6,7
0,11,28,1,4,8
0,14,22,0,6,6
1,9,28,0,4,7
1,13,20,0,6,5
0,8,27,1,3,7
0,13,17,0,6,4
1,6,27,0,3,6
1,12,15,0,6,3
1,13,27,1,5,8
0,12,26,0,5,7
0,13,24,1,5,7
1,10,26,1,4,7
1,12,22,1,5,6
0,9,25,0,4,6
0,12,19,1,5,5
1,7,25,1,3,6
1,11,17,1,5,4
1,11,24,0,5,6
0,10,23,1,4,6
0,11,21,0,5,5
1,8,23,0,4,5
1,10,19,0,5,4
1,9,21,1,4,5
0,28,43,1,9,17
1,29,44,0,10,17
1,27,41,1,9,16
1,30,42,1,10,17
0,27,38,1,9,15
1,31,40,0,11,16
1,26,36,1,9,14
1,32,38,1,11,16
0,26,33,1,9,13
1,33,36,0,12,15
1,25,31,1,9,12
1,34,34,1,12,15
0,25,28,1,9,11
1,35,32,0,13,14
1,24,26,1,9,10
1,36,30,1,13,14
0,24,23,1,9,9
1,37,28,0,14,13
1,23,21,1,9,8
1,38,26,1,14,13
0,23,18,1,9,7
1,39,24,0,15,12
1,22,16,1,9,6
1,40,22,1,15,12
0,22,13,1,9,5
1,41,20,0,16,11
1,21,11,1,9,4
1,42,18,1,16,11
0,21,8,1,9,3
1,43,16,0,17,10
1,20,6,1,9,2
1,44,14,1,17,10
0,20,3,1,9,1
1,45,12,0,18,9
1,19,1,1,9,0
1,46,10,1,18,9
0,29,41,0,10,16
1,28,39,0,10,15
0,30,39,1,10,16
0,28,36,0,10,14
0,31,37,0,11,15
1,27,34,0,10,13
0,32,35,1,11,15
0,27,31,0,10,12
0,33,33,0,12,14
1,26,29,0,10,11
0,34,31,1,12,14
0,26,26,0,10,10
0,35,29,0,13,13
1,25,24,0,10,9
0,36,27,1,13,13
0,25,21,0,10,8
0,37,25,0,14,12
1,24,19,0,10,7
0,38,23,1,14,12
0,24,16,0,10,6
0,39,21,0,15,11
1,23,14,0,10,5
0,40,19,1,15,11
0,23,11,0,10,4
0,41,17,0,16,10
1,22,9,0,10,3
0,42,15,1,16,10
0,22,6,0,10,2
0,43,13,0,17,9
1,21,4,0,10,1
0,44,11,1,17,9
0,21,1,0,10,0
0,45,9,0,18,8
1,29,37,1,10,15
0,29,34,1,10,14
1,30,35,0,11,14
1,28,32,1,10,13
1,31,33,1,11,14
0,28,29,1,10,12
1,32,31,0,12,13
1,27,27,1,10,11
1,33,29,1,12,13
0,27,24,1,10,10
1,34,27,0,13,12
1,26,22,1,10,9
1,35,25,1,13,12
0,26,19,1,10,8
1,36,23,0,14,11
1,25,17,1,10,7
1,37,21,1,14,11
0,25,14,1,10,6
1,38,19,0,15,10
1,24,12,1,10,5
1,39,17,1,15,10
0,24,9,1,10,4
1,40,15,0,16,9
1,23,7,1,10,3
1,41,13,1,16,9
0,23,4,1,10,2
1,42,11,0,17,8
1,22,2,1,10,1
1,43,9,1,17,8
0,30,32,0,11,13
1,29,30,0,11,12
0,31,30,1,11,13
0,29,27,0,11,11
0,32,28,0,12,12
1,28,25,0,11,10
0,33,26,1,12,12
0,28,22,0,11,9
0,34,24,0,13,11
1,27,20,0,11,8
0,35,22,1,13,11
0,27,17,0,11,7
0,36,20,0,14,10
1,26,15,0,11,6
0,37,18,1,14,10
0,26,12,0,11,5
0,38,16,0,15,9
1,25,10,0,11,4
0,39,14,1,15,9
0,25,7,0,11,3
0,40,12,0,16,8
1,24,5,0,11,2
0,41,10,1,16,8
0,24,2,0,11,1
0,42,8,0,17,7
1,30,28,1,11,12
0,30,25,1,11,11
1,31,26,0,12,11
1,29,23,1,11,10
1,32,24,1,12,11
0,29,20,1,11,9
1,33,22,0,13,10
1,28,18,1,11,8
1,34,20,1,13,10
0,28,15,1,11,7
1,35,18,0,14,9
1,27,13,1,11,6
1,36,16,1,14,9
0,27,10,1,11,5
1,37,14,0,15,8
1,26,8,1,11,4
1,38,12,1,15,8
0,26,5,1,11,3
1,39,10,0,16,7
1,25,3,1,11,2
1,40,8,1,16,7
0,31,23,0,12,10
1,30,21,0,12,9
0,32,21,1,12,10
0,30,18,0,12,8
0,33,19,0,13,9
1,29,16,0,12,7
0,34,17,1,13,9
0,29,13,0,12,6
0,35,15,0,14,8
1,28,11,0,12,5
0,36,13,1,14,8
0,28,8,0,12,4
0,37,11,0,15,7
1,27,6,0,12,3
0,38,9,1,15,7
0,27,3,0,12,2
0,39,7,0,16,6
1,31,19,1,12,9
0,31,16,1,12,8
1,32,17,0,13,8
1,30,14,1,12,7
1,33,15,1,13,8
0,30,11,1,12,6
1,34,13,0,14,7
1,29,9,1,12,5
1,35,11,1,14,7
0,29,6,1,12,4
1,36,9,0,15,6
1,28,4,1,12,3
1,37,7,1,15,6
0,32,14,0,13,7
1,31,12,0,13,6
0,33,12,1,13,7
0,31,9,0,13,5
0,34,10,0,14,6
1,30,7,0,13,4
0,35,8,1,14,6
0,30,4,0,13,3
0,36,6,0,15,5
1,32,10,1,13,6
0,32,7,1,13,5
1,33,8,0,14,5
1,31,5,1,13,4
1,34,6,1,14,5
0,33,5,0,14,4
0,31,44,1,10,18
1,31,47,1,10,19
0,32,42,0,11,17
0,33,47,0,11,19
0,33,40,1,11,17
1,34,48,1,11,20
0,34,38,0,12,16
0,36,48,0,12,20
0,35,36,1,12,16
1,37,49,1,12,21
0,36,34,0,13,15
0,39,49,0,13,21
0,37,32,1,13,15
1,40,50,1,13,22
0,38,30,0,14,14
0,42,50,0,14,22
0,39,28,1,14,14
1,43,51,1,14,23
0,40,26,0,15,13
0,45,51,0,15,23
0,41,24,1,15,13
1,46,52,1,15,24
0,42,22,0,16,12
0,48,52,0,16,24
0,43,20,1,16,12
1,49,53,1,16,25
0,44,18,0,17,11
0,51,53,0,17,25
0,45,16,1,17,11
1,52,54,1,17,26
0,46,14,0,18,10
0,54,54,0,18,26
0,47,12,1,18,10
1,55,55,1,18,27
0,48,10,0,19,9
0,57,55,0,19,27
1,32,45,0,11,18
1,33,43,1,11,18
0,34,45,1,11,19
1,34,41,0,12,17
1,35,46,0,12,19
1,35,39,1,12,17
0,37,46,1,12,20
1,36,37,0,13,16
1,38,47,0,13,20
1,37,35,1,13,16
0,40,47,1,13,21
1,38,33,0,14,15
1,41,48,0,14,21
1,39,31,1,14,15
0,43,48,1,14,22
1,40,29,0,15,14
1,44,49,0,15,22
1,41,27,1,15,14
0,46,49,1,15,23
1,42,25,0,16,13
1,47,50,0,16,23
1,43,23,1,16,13
0,49,50,1,16,24
1,44,21,0,17,12
1,50,51,0,17,24
1,45,19,1,17,12
0,52,51,1,17,25
1,46,17,0,18,11
1,53,52,0,18,25
1,47,15,1,18,11
0,55,52,1,18,26
1,48,13,0,19,10
1,56,53,0,19,26
0,35,43,0,12,18
0,36,41,1,12,18
1,36,44,1,12,19
0,37,39,0,13,17
0,38,44,0,13,19
0,38,37,1,13,17
1,39,45,1,13,20
0,39,35,0,14,16
0,41,45,0,14,20
0,40,33,1,14,16
1,42,46,1,14,21
0,41,31,0,15,15
0,44,46,0,15,21
0,42,29,1,15,15
1,45,47,1,15,22
0,43,27,0,16,14
0,47,47,0,16,22
0,44,25,1,16,14
1,48,48,1,16,23
0,45,23,0,17,13
0,50,48,0,17,23
0,46,21,1,17,13
1,51,49,1,17,24
0,47,19,0,18,12
0,53,49,0,18,24
0,48,17,1,18,12
1,54,50,1,18,25
0,49,15,0,19,11
0,56,50,0,19,25
1,37,42,0,13,18
1,38,40,1,13,18
0,39,42,1,13,19
1,39,38,0,14,17
1,40,43,0,14,19
1,40,36,1,14,17
0,42,43,1,14,20
1,41,34,0,15,16
1,43,44,0,15,20
1,42,32,1,15,16
0,45,44,1,15,21
1,43,30,0,16,15
1,46,45,0,16,21
1,44,28,1,16,15
0,48,45,1,16,22
1,45,26,0,17,14
1,49,46,0,17,22
1,46,24,1,17,14
0,51,46,1,17,23
1,47,22,0,18,13
1,52,47,0,18,23
1,48,20,1,18,13
0,54,47,1,18,24
1,49,18,0,19,12
1,55,48,0,19,24
0,40,40,0,14,18
0,41,38,1,14,18
1,41,41,1,14,19
0,42,36,0,15,17
0,43,41,0,15,19
0,43,34,1,15,17
1,44,42,1,15,20
0,44,32,0,16,16
0,46,42,0,16,20
0,45,30,1,16,16
1,47,43,1,16,21
0,46,28,0,17,15
0,49,43,0,17,21
0,47,26,1,17,15
1,50,44,1,17,22
0,48,24,0,18,14
0,52,44,0,18,22
0,49,22,1,18,14
1,53,45,1,18,23
0,50,20,0,19,13
0,55,45,0,19,23
1,42,39,0,15,18
1,43,37,1,15,18
0,44,39,1,15,19
1,44,35,0,16,17
1,45,40,0,16,19
1,45,33,1,16,17
0,47,40,1,16,20
1,46,31,0,17,16
1,48,41,0,17,20
1,47,29,1,17,16
0,50,41,1,17,21
1,48,27,0,18,15
1,51,42,0,18,21
1,49,25,1,18,15
0,53,42,1,18,22
1,50,23,0,19,14
1,54,43,0,19,22
0,45,37,0,16,18
0,46,35,1,16,18
1,46,38,1,16,19
0,47,33,0,17,17
0,48,38,0,17,19
0,48,31,1,17,17
1,49,39,1,17,20
0,49,29,0,18,16
0,51,39,0,18,20
0,50,27,1,18,16
1,52,40,1,18,21
0,51,25,0,19,15
0,54,40,0,19,21
1,47,36,0,17,18
1,48,34,1,17,18
0,49,36,1,17,19
1,49,32,0,18,17
1,50,37,0,18,19
1,50,30,1,18,17
0,52,37,1,18,20
1,51,28,0,19,16
1,53,38,0,19,20
0,50,34,0,18,18
0,51,32,1,18,18
1,51,35,1,18,19
0,52,30,0,19,17
0,53,35,0,19,19
1,52,33,0,19,18
0,32,49,1,10,20
0,31,51,0,10,20
1,33,50,0,11,20
1,31,54,0,10,21
0,35,50,1,11,21
0,32,56,0,10,22
1,36,51,0,12,21
1,32,59,0,10,23
0,38,51,1,12,22
0,33,61,0,10,24
1,39,52,0,13,22
1,33,64,0,10,25
0,41,52,1,13,23
0,34,66,0,10,26
1,42,53,0,14,23
1,34,69,0,10,27
0,44,53,1,14,24
0,35,71,0,10,28
1,45,54,0,15,24
1,35,74,0,10,29
0,47,54,1,15,25
0,36,76,0,10,30
1,48,55,0,16,25
1,36,79,0,10,31
0,50,55,1,16,26
0,37,81,0,10,32
1,51,56,0,17,26
1,37,84,0,10,33
0,53,56,1,17,27
0,38,86,0,10,34
1,54,57,0,18,27
1,38,89,0,10,35
0,56,57,1,18,28
0,39,91,0,10,36
1,57,58,0,19,28
1,39,94,0,10,37
1,32,52,1,10,21
0,34,52,0,11,21
0,33,54,1,10,22
1,35,53,1,11,22
1,33,57,1,10,23
0,37,53,0,12,22
0,34,59,1,10,24
1,38,54,1,12,23
1,34,62,1,10,25
0,40,54,0,13,23
0,35,64,1,10,26
1,41,55,1,13,24
1,35,67,1,10,27
0,43,55,0,14,24
0,36,69,1,10,28
1,44,56,1,14,25
1,36,72,1,10,29
0,46,56,0,15,25
0,37,74,1,10,30
1,47,57,1,15,26
1,37,77,1,10,31
0,49,57,0,16,26
0,38,79,1,10,32
1,50,58,1,16,27
1,38,82,1,10,33
0,52,58,0,17,27
0,39,84,1,10,34
1,53,59,1,17,28
1,39,87,1,10,35
0,55,59,0,18,28
0,40,89,1,10,36
1,56,60,1,18,29
1,40,92,1,10,37
1,34,55,0,11,22
0,36,55,1,11,23
0,35,57,0,11,23
1,37,56,0,12,23
1,35,60,0,11,24
0,39,56,1,12,24
0,36,62,0,11,25
1,40,57,0,13,24
1,36,65,0,11,26
0,42,57,1,13,25
0,37,67,0,11,27
1,43,58,0,14,25
1,37,70,0,11,28
0,45,58,1,14,26
0,38,72,0,11,29
1,46,59,0,15,26
1,38,75,0,11,30
0,48,59,1,15,27
0,39,77,0,11,31
1,49,60,0,16,27
1,39,80,0,11,32
0,51,60,1,16,28
0,40,82,0,11,33
1,52,61,0,17,28
1,40,85,0,11,34
0,54,61,1,17,29
0,41,87,0,11,35
1,55,62,0,18,29
1,41,90,0,11,36
1,36,58,1,11,24
0,38,58,0,12,24
0,37,60,1,11,25
1,39,59,1,12,25
1,37,63,1,11,26
0,41,59,0,13,25
0,38,65,1,11,27
1,42,60,1,13,26
1,38,68,1,11,28
0,44,60,0,14,26
0,39,70,1,11,29
1,45,61,1,14,27
1,39,73,1,11,30
0,47,61,0,15,27
0,40,75,1,11,31
1,48,62,1,15,28
1,40,78,1,11,32
0,50,62,0,16,28
0,41,80,1,11,33
1,51,63,1,16,29
1,41,83,1,11,34
0,53,63,0,17,29
0,42,85,1,11,35
1,54,64,1,17,30
1,42,88,1,11,36
1,38,61,0,12,25
0,40,61,1,12,26
0,39,63,0,12,26
1,41,62,0,13,26
1,39,66,0,12,27
0,43,62,1,13,27
0,40,68,0,12,28
1,44,63,0,14,27
1,40,71,0,12,29
0,46,63,1,14,28
0,41,73,0,12,30
1,47,64,0,15,28
1,41,76,0,12,31
0,49,64,1,15,29
0,42,78,0,12,32
1,50,65,0,16,29
1,42,81,0,12,33
0,52,65,1,16,30
0,43,83,0,12,34
1,53,66,0,17,30
1,43,86,0,12,35
1,40,64,1,12,27
0,42,64,0,13,27
0,41,66,1,12,28
1,43,65,1,13,28
1,41,69,1,12,29
0,45,65,0,14,28
0,42,71,1,12,30
1,46,66,1,14,29
1,42,74,1,12,31
0,48,66,0,15,29
0,43,76,1,12,32
1,49,67,1,15,30
1,43,79,1,12,33
0,51,67,0,16,30
0,44,81,1,12,34
1,52,68,1,16,31
1,44,84,1,12,35
1,42,67,0,13,28
0,44,67,1,13,29
0,43,69,0,13,29
1,45,68,0,14,29
1,43,72,0,13,30
0,47,68,1,14,30
0,44,74,0,13,31
1,48,69,0,15,30
1,44,77,0,13,32
0,50,69,1,15,31
0,45,79,0,13,33
1,51,70,0,16,31
1,45,82,0,13,34
1,44,70,1,13,30
0,46,70,0,14,30
0,45,72,1,13,31
1,47,71,1,14,31
1,45,75,1,13,32
0,49,71,0,15,31
0,46,77,1,13,33
1,50,72,1,15,32
1,46,80,1,13,34
1,46,73,0,14,31
0,48,73,1,14,32
0,47,75,0,14,32
1,49,74,0,15,32
1,47,78,0,14,33
1,48,76,1,14,33
0,30,53,1,9,21
1,28,53,0,9,20
1,30,56,1,9,22
1,27,55,1,8,21
0,31,58,1,9,23
1,26,57,0,8,21
1,31,61,1,9,24
1,25,59,1,7,22
0,32,63,1,9,25
1,24,61,0,7,22
1,32,66,1,9,26
1,23,63,1,6,23
0,33,68,1,9,27
1,22,65,0,6,23
1,33,71,1,9,28
1,21,67,1,5,24
0,34,73,1,9,29
1,20,69,0,5,24
1,34,76,1,9,30
1,19,71,1,4,25
0,35,78,1,9,31
1,18,73,0,4,25
1,35,81,1,9,32
1,17,75,1,3,26
0,36,83,1,9,33
1,16,77,0,3,26
1,36,86,1,9,34
1,15,79,1,2,27
0,37,88,1,9,35
1,14,81,0,2,27
1,37,91,1,9,36
1,13,83,1,1,28
0,38,93,1,9,37
1,12,85,0,1,28
1,38,96,1,9,38
1,11,87,1,0,29
0,29,55,0,9,21
1,29,58,0,9,22
0,28,57,1,8,22
0,30,60,0,9,23
0,27,59,0,8,22
1,30,63,0,9,24
0,26,61,1,7,23
0,31,65,0,9,25
0,25,63,0,7,23
1,31,68,0,9,26
0,24,65,1,6,24
0,32,70,0,9,27
0,23,67,0,6,24
1,32,73,0,9,28
0,22,69,1,5,25
0,33,75,0,9,29
0,21,71,0,5,25
1,33,78,0,9,30
0,20,73,1,4,26
0,34,80,0,9,31
0,19,75,0,4,26
1,34,83,0,9,32
0,18,77,1,3,27
0,35,85,0,9,33
0,17,79,0,3,27
1,35,88,0,9,34
0,16,81,1,2,28
0,36,90,0,9,35
0,15,83,0,2,28
1,36,93,0,9,36
0,14,85,1,1,29
0,37,95,0,9,37
0,13,87,0,1,29
1,28,60,1,8,23
0,29,62,1,8,24
1,27,62,0,8,23
1,29,65,1,8,25
1,26,64,1,7,24
0,30,67,1,8,26
1,25,66,0,7,24
1,30,70,1,8,27
1,24,68,1,6,25
0,31,72,1,8,28
1,23,70,0,6,25
1,31,75,1,8,29
1,22,72,1,5,26
0,32,77,1,8,30
1,21,74,0,5,26
1,32,80,1,8,31
1,20,76,1,4,27
0,33,82,1,8,32
1,19,78,0,4,27
1,33,85,1,8,33
1,18,80,1,3,28
0,34,87,1,8,34
1,17,82,0,3,28
1,34,90,1,8,35
1,16,84,1,2,29
0,35,92,1,8,36
1,15,86,0,2,29
1,35,95,1,8,37
1,14,88,1,1,30
0,28,64,0,8,24
1,28,67,0,8,25
0,27,66,1,7,25
0,29,69,0,8,26
0,26,68,0,7,25
1,29,72,0,8,27
0,25,70,1,6,26
0,30,74,0,8,28
0,24,72,0,6,26
1,30,77,0,8,29
0,23,74,1,5,27
0,31,79,0,8,30
0,22,76,0,5,27
1,31,82,0,8,31
0,21,78,1,4,28
0,32,84,0,8,32
0,20,80,0,4,28
1,32,87,0,8,33
0,19,82,1,3,29
0,33,89,0,8,34
0,18,84,0,3,29
1,33,92,0,8,35
0,17,86,1,2,30
0,34,94,0,8,36
0,16,88,0,2,30
1,27,69,1,7,26
0,28,71,1,7,27
1,26,71,0,7,26
1,28,74,1,7,28
1,25,73,1,6,27
0,29,76,1,7,29
1,24,75,0,6,27
1,29,79,1,7,30
1,23,77,1,5,28
0,30,81,1,7,31
1,22,79,0,5,28
1,30,84,1,7,32
1,21,81,1,4,29
0,31,86,1,7,33
1,20,83,0,4,29
1,31,89,1,7,34
1,19,85,1,3,30
0,32,91,1,7,35
1,18,87,0,3,30
1,32,94,1,7,36
1,17,89,1,2,31
0,27,73,0,7,27
1,27,76,0,7,28
0,26,75,1,6,28
0,28,78,0,7,29
0,25,77,0,6,28
1,28,81,0,7,30
0,24,79,1,5,29
0,29,83,0,7,31
0,23,81,0,5,29
1,29,86,0,7,32
0,22,83,1,4,30
0,30,88,0,7,33
0,21,85,0,4,30
1,30,91,0,7,34
0,20,87,1,3,31
0,31,93,0,7,35
0,19,89,0,3,31
1,26,78,1,6,29
0,27,80,1,6,30
1,25,80,0,6,29
1,27,83,1,6,31
1,24,82,1,5,30
0,28,85,1,6,32
1,23,84,0,5,30
1,28,88,1,6,33
1,22,86,1,4,31
0,29,90,1,6,34
1,21,88,0,4,31
1,29,93,1,6,35
1,20,90,1,3,32
0,26,82,0,6,30
1,26,85,0,6,31
0,25,84,1,5,31
0,27,87,0,6,32
0,24,86,0,5,31
1,27,90,0,6,33
0,23,88,1,4,32
0,28,92,0,6,34
0,22,90,0,4,32
1,25,87,1,5,32
0,26,89,1,5,33
1,24,89,0,5,32
1,26,92,1,5,34
1,23,91,1,4,33
0,25,91,0,5,33
